Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,Turkish,Hindi,Arabic,Bengali,,,,
GAME_NAME,M590 Duo Squad,M590雙人小隊,M590雙人隊,Cặp Đôi M590,Pasukan Duo M590,Esquadrão M590 Duo,Escuadrón dúo M590,M590 Duo Squad,Escouade Duo M590,M590 Duo Takımı,M590 डुओ स्क्वाड,فرقة M590 Duo,M590 ডুও স্কোয়াড,,,,
GAME_DESCRIPTION,"Select your favorite M590 combo, experience suprising random events. Get 3 winnings first to take the victory.",選擇你最喜歡的M590組合，體驗驚喜的隨機事件。率先獲得3個獎金即可獲得勝利。,選擇คุณ最喜歡的M590組合，體驗驚喜的隨機事件。率先獲得3個獎金即可獲得勝利。,"Sử dụng tổ hợp M590 ưa thích của bạn, trải nghiệm các sự kiện bất ngờ. Đạt được 3 điểm để giành chiến thắng","Pilih kombo M590 favoritmu, rasakan kejutan acak. Raih 3 kemenangan pertama untuk meraih kemenangan.",Selecione sua combinação favorita de M590 e viva eventos aleatórios surpreendentes. Consiga 3 prêmios primeiro para garantir a vitória.,Selecciona tu combinación favorita de M590 y vive eventos aleatorios sorprendentes. Consigue 3 premios primero para alzarte con la victoria.,"Выберите любимую комбинацию M590 и участвуйте в удивительных случайных событиях. Получите 3 выигрыша первым, чтобы одержать победу.",Choisissez votre combo M590 préféré et vivez des événements aléatoires surprenants. Obtenez 3 gains en premier pour remporter la victoire.,"Favori M590 kombinasyonunuzu seçin, şaşırtıcı rastgele olaylara tanık olun. Zafere ulaşmak için ilk 3 galibiyeti alın.","अपना पसंदीदा M590 कॉम्बो चुनें, आश्चर्यजनक यादृच्छिक घटनाओं का अनुभव करें। जीत हासिल करने के लिए पहले 3 जीतें।",اختر تشكيلة M590 المفضلة لديك، واستمتع بأحداث عشوائية مفاجئة. احصل على 3 جوائز أولًا لتفوز.,"আপনার প্রিয় M590 কম্বো নির্বাচন করুন, বিস্ময়কর এলোমেলো ইভেন্টের অভিজ্ঞতা নিন। জয় পেতে প্রথমে 3টি উইনিং পান।",,,,
SHOP_ICON_CONTENT,Shop,店鋪,ร้าน鋪,Cửa hàng,Toko,Comprar,Comercio,Магазин,Boutique,Mağaza,दुकान,محل,দোকান,,,,
TEAM,Team {0},團隊 {0},團隊 {0},Đội {0},Tim {0},Equipe {0},Equipo {0},Команда {0},Équipe {0},Takım {0},टीम {0},الفريق {0},দল {0},,,,
TEAM_1,Team 1,第一隊,第一隊,Đội 1,Tim 1,Equipe 1,Equipo 1,Команда 1,Équipe 1,Takım 1,टीम 1,الفريق 1,দল 1,,,,
TEAM_2,Team 2,第 2 隊,บทที่ 2 隊,Đội 2,Tim 2,Equipe 2,Equipo 2,Команда 2,Équipe 2,Takım 2,टीम 2,الفريق 2,দল 2,,,,
TEAM_3,Team 3,第 3 隊,บทที่ 3,Đội 3,Tim 3,Equipe 3,Equipo 3,Команда 3,Équipe 3,Takım 3,टीम 3,الفريق 3,দল 3,,,,
SCBOARD_TITLE_RANK,Rank,秩,秩,Thứ Hạng,Pangkat,Classificação,Rango,Классифицировать,Rang,Rütbe,रैंक,رتبة,পদমর্যাদা,,,,
SCBOARD_TITLE_TEAMNAME,Team Name,團隊名稱,團隊名稱,Tên Đội,Nama Tim,Nome da equipe,Nombre del equipo,Название команды,Nom de l'équipe,Takım Adı,टीम का नाम,اسم الفريق,দলের নাম,,,,
SCBOARD_TITLE_TOTALKILLS,Total Kills,總擊殺數,總擊殺數,Tổng Hạ Gục,Total Pembunuhan,Total de mortes,Muertes totales,Всего убийств,Nombre total de victimes,Toplam Öldürme Sayısı,कुल हत्याएं,إجمالي القتلى,টোটাল কিলস,,,,
SCBOARD_TOOLTIP,"Round starts!",回合開始！,回合開始!,"Trận đấu bắt đầu!",Babak dimulai!,A rodada começa!,¡La ronda comienza!,Раунд начинается!,Le tour commence !,Tur başlıyor!,दौर शुरू!,بدأت الجولة!,রাউন্ড শুরু!,,,,
ROUND_COUNTDOWN,Combat starts in,戰鬥開始於,戰鬥開始於,Vòng đấu bắt đầu trong,Pertarungan dimulai di,O combate começa em,El combate comienza en,Бой начинается через,Le combat commence dans,Savaş başlıyor,युद्ध शुरू होता है,القتال يبدأ في,মধ্যে লড়াই শুরু হয়,,,,
START_COUNTDOWN,The game will start shortly,比賽即將開始,比賽即將開始,Trận đấu đang chuẩn bị bắt đầu,Permainan akan segera dimulai,O jogo começará em breve,El juego comenzará en breve.,Игра начнется скоро.,Le jeu va bientôt commencer,Oyun yakında başlayacak,खेल शीघ्र ही शुरू होगा,اللعبة سوف تبدأ قريبا,কিছুক্ষণের মধ্যেই খেলা শুরু হবে,,,,
ROUND_INFO,{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},,,,
ROUND_INFO_2,Round {0} - {1},第 {0} - {1} 輪,ตอนที่ {0} - {1} 輪,Vòng {0} - {1},Putaran {0} - {1},Rodada {0} - {1},Ronda {0} - {1},Раунд {0} - {1},Tour {0} - {1},Tur {0} - {1},राउंड {0} - {1},الجولة {0} - {1},রাউন্ড {0} - {1},,,,
ROUND_INFO_NOPARAM,Round,圓形的,圓形的,Vòng,Bulat,Redondo,Redondo,Круглый,Rond,Yuvarlak,गोल,دائري,গোলাকার,,,,
ROUND_END_INFO,Round ended!,回合結束！,回合結束!,Vòng đấu kết thúc!,Babak berakhir!,Rodada encerrada!,¡Ronda terminada!,Раунд окончен!,Le tour est terminé !,Tur bitti!,दौर समाप्त!,إنتهت الجولة!,রাউন্ড শেষ!,,,,
ROUND_END_SUBTITLE,Team {0} wins the round!,{0} 隊贏得本輪比賽！,{0} 隊贏得本輪比賽！,Đội {0} giành chiến thắng!,Tim {0} memenangkan ronde ini!,A equipe {0} vence a rodada!,¡El equipo {0} gana la ronda!,Команда {0} выигрывает раунд!,L'équipe {0} remporte la manche !,{0} takımı turu kazandı!,टीम {0} ने राउंड जीत लिया!,الفريق {0} يفوز بالجولة!,দল {0} রাউন্ড জিতেছে!,,,,
TARGET_UI_TITLE_TEXT,Target: {0},目標：{0},การแก้ไข：{0},Mục tiêu: {0},Sasaran: {0},Alvo: {0},Objetivo: {0},Цель: {0},Cible : {0},Hedef: {0},लक्ष्य: {0},الهدف: {0},লক্ষ্য: {0},,,,
Temp,Count down: {0},倒數計時：{0},倒數計時：{0},,Hitung mundur: {0},Contagem regressiva: {0},Cuenta regresiva: {0},Обратный отсчет: {0},Compte à rebours : {0},Geri sayım: {0},उलटी गिनती: {0},العد التنازلي: {0},কাউন্ট ডাউন: {0},,,,
TUT_BUTTON,Tutorial,教學,教學,Hướng dẫn,Tutorial,Tutorial,Tutorial,Учебное пособие,Tutoriel,Eğitim,ट्यूटोरियल,درس تعليمي,টিউটোরিয়াল,,,,
TUT_SKIP_BTN,Skip,跳過,跳過,Bỏ qua,Melewati,Pular,Saltar,Пропускать,Sauter,Atlamak,छोडना,يتخطى,এড়িয়ে যান,,,,
TUT_S1,"Welcome to Last Safe Zone.
Engage in a narrow area, with the final safe zone, become the last team to survive.","歡迎來到最後的安全區。
在狹窄的區域內，利用最後的安全區，成為最後倖存的隊伍。","歡迎來到最後的安全區。
在狹窄的區域內，利用最後的安全區，成為最後倖存的隊伍。","Chào mừng đến với Đại Chiến Bo Cuối!
Cùng đồng đội chiến đấu trong khu vực vòng bo cuối cùng, trở thành đội cuối cùng sống sót.","Selamat datang di Zona Aman Terakhir.
Bertempurlah di area sempit, dan jadilah tim terakhir yang bertahan di zona aman terakhir.","Bem-vindo à Última Zona Segura.
Enfrente uma área estreita e, na última zona segura, torne-se a última equipe a sobreviver.","Bienvenidos a la Última Zona Segura.
Enfréntense en un área estrecha, en la última zona segura, y conviértanse en el último equipo en sobrevivir.","Добро пожаловать в Последнюю безопасную зону.
Действуйте на узкой территории, в последней безопасной зоне, и станьте последней выжившей командой.","Bienvenue dans la Dernière Zone de Sécurité.
Engagez-vous dans une zone étroite, jusqu'à la dernière zone de sécurité, et devenez la dernière équipe à survivre.","Son Güvenli Bölge'ye hoş geldiniz.
Dar bir alanda mücadele edin, son güvenli bölgeye ulaşın ve hayatta kalan son takım olun.","अंतिम सुरक्षित क्षेत्र में आपका स्वागत है।
एक संकरे क्षेत्र में प्रवेश करें, अंतिम सुरक्षित क्षेत्र में पहुँचकर, जीवित रहने वाली अंतिम टीम बनें।","أهلاً بكم في منطقة الأمان الأخيرة.
انخرطوا في منطقة ضيقة، ومع منطقة الأمان الأخيرة، كونوا الفريق الأخير الناجي.","শেষ নিরাপদ অঞ্চলে স্বাগতম।
একটি সংকীর্ণ এলাকায় নিযুক্ত, চূড়ান্ত নিরাপদ অঞ্চলের সাথে, বেঁচে থাকার শেষ দল হয়ে উঠুন।",,,,
TUT_S2,"Your team's point is highlighted.
Each time your team survives to the last, you get one point.","您的隊伍得分將會被高亮顯示。
每當您的隊伍存活到最後，您就會獲得一分。","您的隊伍得分將會被高亮顯示。
每當您的隊伍存活到最後，您就會獲得一分。","Đội của bạn sẽ được đánh dấu.
Mỗi khi giành chiến thắng, đội bạn sẽ được một điểm.","Poin tim Anda akan disorot.
Setiap kali tim Anda bertahan hingga akhir, Anda mendapatkan satu poin.","O ponto da sua equipe é destacado.
Cada vez que sua equipe chega ao fim, você ganha um ponto.","El punto de tu equipo queda resaltado.
Cada vez que tu equipo sobrevive hasta el último punto, obtienes un punto.","Очко вашей команды подсвечивается.
Каждый раз, когда ваша команда доживает до конца, вы получаете одно очко.","Le point de votre équipe est mis en évidence.
Chaque fois que votre équipe survit jusqu'à la fin, vous gagnez un point.","Takımınızın puanı vurgulanır.
Takımınız sonuncuya kadar her ulaştığında bir puan kazanırsınız.","आपकी टीम का अंक हाइलाइट किया जाता है।
हर बार जब आपकी टीम आखिरी तक टिकती है, तो आपको एक अंक मिलता है।",سيتم إبراز نقطة فريقك. في كل مرة ينجو فيها فريقك حتى النهاية، تحصل على نقطة واحدة.,"আপনার দলের পয়েন্ট হাইলাইট করা হয়.
প্রতিবার আপনার দল শেষ পর্যন্ত টিকে গেলে, আপনি একটি পয়েন্ট পাবেন।",,,,
TUT_S3,Click in your team to see leaderboard details.,點擊您的團隊即可查看排行榜詳情。,點擊您的團隊即可查看排行榜詳情。,Nhấn chọn vào đội của bạn để xem chi tiết bảng điểm.,Klik tim Anda untuk melihat detail papan peringkat.,Clique na sua equipe para ver os detalhes da tabela de classificação.,Haz clic en tu equipo para ver los detalles de la clasificación.,"Щелкните по своей команде, чтобы увидеть детали таблицы лидеров.",Cliquez sur votre équipe pour voir les détails du classement.,Liderlik tablosunun ayrıntılarını görmek için takımınıza tıklayın.,लीडरबोर्ड विवरण देखने के लिए अपनी टीम पर क्लिक करें।,انقر على فريقك لرؤية تفاصيل لوحة المتصدرين.,লিডারবোর্ডের বিশদ বিবরণ দেখতে আপনার দলে ক্লিক করুন।,,,,
TUT_S4,"All necessary equipments are set up and refreshed each round.
Fell free to choose any weapons in the shop.","每輪都會設定並刷新所有必要的裝備。
您可以自由選擇商店中的任何武器。","每輪都會設定並刷新所有必要的裝備。
您可以自由選擇商店中的任何武器。","Mọi trang bị cần thiết đã có và được làm mới mỗi trận đấu.
Lựa chọn bất kỳ loại súng nào trong Cửa hàng.","Semua perlengkapan yang diperlukan disiapkan dan diperbarui setiap ronde.
Silakan pilih senjata apa pun di toko.","Todos os equipamentos necessários são configurados e atualizados a cada rodada.
Sinta-se à vontade para escolher qualquer arma na loja.",Todo el equipo necesario se instala y se renueva en cada ronda. Elige libremente cualquier arma en la tienda.,"Всё необходимое снаряжение устанавливается и обновляется каждый раунд.
Выбирайте любое оружие в магазине.","Tout l'équipement nécessaire est installé et mis à jour à chaque tour.
N'hésitez pas à choisir vos armes dans la boutique.","Gerekli tüm ekipmanlar her turda kurulur ve yenilenir.
Dükkandan dilediğiniz silahı seçebilirsiniz.","सभी ज़रूरी उपकरण हर राउंड में तैयार और ताज़ा किए जाते हैं।
आप दुकान में से कोई भी हथियार चुनने के लिए स्वतंत्र हैं।",جميع المعدات اللازمة مُجهزة ومُحدثة في كل جولة. اختر أي سلاح من المتجر.,"সমস্ত প্রয়োজনীয় সরঞ্জাম প্রতি রাউন্ডে সেট আপ এবং রিফ্রেশ করা হয়।
দোকানে কোন অস্ত্র চয়ন বিনামূল্যে পড়ে.",,,,
TUT_S5,Good Luck!,祝你好運！,祝คุณ好運!,Chúc May Mắn!,Semoga beruntung!,Boa sorte!,¡Buena suerte!,Удачи!,Bonne chance!,İyi şanlar!,आपको कामयाबी मिले!,حظ سعيد!,শুভকামনা!,,,,
STAGE_1,Clock Tower,鐘樓,鐘樓,Tháp Đồng Hồ,Menara Jam,Torre do Relógio,Torre del Reloj,Часовая башня,Tour de l'Horloge,Saat Kulesi,घंटाघर,برج الساعة,ক্লক টাওয়ার,,,,
STAGE_2,Graveyard,墓園,墓園,Nghĩa Địa,Makam,Cemitério,Cementerio,Кладбище,Cimetière,Mezarlık,कब्रिस्तान,مقبرة,কবরস্থান,,,,
STAGE_3,Peak,頂峰,頂峰,Cổng Trời,Puncak,Pico,Cima,Пик,Culminer,Doruğa ulaşmak,चोटी,قمة,পিক,,,,
